states,states_code,id,year,population,pop_growth
Montana,MT,30,2015,1030475,0.842182315
Montana,MT,30,2016,1040859,1.007690628
Montana,MT,30,2017,1052482,1.116673824
Montana,MT,30,2018,1060665,0.777495482
Montana,MT,30,2019,1068778,0.764897494
Nebraska,NE,31,2010,1829542,
Nebraska,NE,31,2011,1840672,0.608348975
Nebraska,NE,31,2012,1853303,0.686216773
Nebraska,NE,31,2013,1865279,0.646197627
Nebraska,NE,31,2014,1879321,0.752809633
Nebraska,NE,31,2015,1891277,0.636187219
Nebraska,NE,31,2016,1905616,0.758164986
Nebraska,NE,31,2017,1915947,0.542134407
Nebraska,NE,31,2018,1925614,0.504554667
Nebraska,NE,31,2019,1934408,0.456685504
Nevada,NV,32,2010,2702405,
Nevada,NV,32,2011,2712730,0.382067085
Nevada,NV,32,2012,2743996,1.152565865
Nevada,NV,32,2013,2775970,1.165234935
Nevada,NV,32,2014,2817628,1.500664633
Nevada,NV,32,2015,2866939,1.750089082
Nevada,NV,32,2016,2917563,1.765785739
Nevada,NV,32,2017,2969905,1.794031526
Nevada,NV,32,2018,3027341,1.933933914
Nevada,NV,32,2019,3080156,1.744600294
New Hampshire,NH,33,2010,1316762,
New Hampshire,NH,33,2011,1320202,0.261246907
New Hampshire,NH,33,2012,1324232,0.305256317
New Hampshire,NH,33,2013,1326622,0.18048197
New Hampshire,NH,33,2014,1333341,0.506474339
New Hampshire,NH,33,2015,1336350,0.225673702
New Hampshire,NH,33,2016,1342307,0.445766453
New Hampshire,NH,33,2017,1348787,0.482750965
New Hampshire,NH,33,2018,1353465,0.346830152
New Hampshire,NH,33,2019,1359711,0.461482196
New Jersey,NJ,34,2010,8799446,
New Jersey,NJ,34,2011,8828117,0.32582733
New Jersey,NJ,34,2012,8844942,0.190584244
New Jersey,NJ,34,2013,8856972,0.136009937
New Jersey,NJ,34,2014,8864525,0.085277451
New Jersey,NJ,34,2015,8867949,0.038625871
New Jersey,NJ,34,2016,8870827,0.032453953
New Jersey,NJ,34,2017,8885525,0.165689174
New Jersey,NJ,34,2018,8886025,0.00562713
New Jersey,NJ,34,2019,8882190,-0.043157655
New Mexico,NM,35,2010,2064552,
New Mexico,NM,35,2011,2080450,0.770045995
New Mexico,NM,35,2012,2087309,0.329688289
New Mexico,NM,35,2013,2092273,0.237818167
New Mexico,NM,35,2014,2089568,-0.129285232
New Mexico,NM,35,2015,2089291,-0.013256329
New Mexico,NM,35,2016,2091630,0.111951854
New Mexico,NM,35,2017,2091784,0.007362679
New Mexico,NM,35,2018,2092741,0.045750422
New Mexico,NM,35,2019,2096829,0.195341898
New York,NY,36,2010,19399878,
New York,NY,36,2011,19499241,0.512183633
New York,NY,36,2012,19572932,0.377917274
New York,NY,36,2013,19624447,0.26319511
New York,NY,36,2014,19651049,0.135555412
New York,NY,36,2015,19654666,0.018406142
New York,NY,36,2016,19633428,-0.108055767
New York,NY,36,2017,19589572,-0.223374135
New York,NY,36,2018,19530351,-0.3023088
New York,NY,36,2019,19453561,-0.393182898
North Carolina,NC,37,2010,9574323,
North Carolina,NC,37,2011,9657592,0.869711623
North Carolina,NC,37,2012,9749476,0.951417289
North Carolina,NC,37,2013,9843336,0.962718407
North Carolina,NC,37,2014,9932887,0.909762706
North Carolina,NC,37,2015,10031646,0.994262796
North Carolina,NC,37,2016,10154788,1.227535342
North Carolina,NC,37,2017,10268233,1.117157739
North Carolina,NC,37,2018,10381615,1.104201667
North Carolina,NC,37,2019,10488084,1.025553346
North Dakota,ND,38,2010,674715,
North Dakota,ND,38,2011,685225,1.55769473
North Dakota,ND,38,2012,701176,2.327848517
North Dakota,ND,38,2013,722036,2.975001997
North Dakota,ND,38,2014,737401,2.128010238
North Dakota,ND,38,2015,754066,2.259964388
North Dakota,ND,38,2016,754434,0.048802094
North Dakota,ND,38,2017,754942,0.067335247
North Dakota,ND,38,2018,758080,0.415661071
North Dakota,ND,38,2019,762062,0.525274377
Ohio,OH,39,2010,11539336,
Ohio,OH,39,2011,11544663,0.046163835
Ohio,OH,39,2012,11548923,0.036900168
Ohio,OH,39,2013,11576684,0.240377393
Ohio,OH,39,2014,11602700,0.224727564
Ohio,OH,39,2015,11617527,0.127789221
Ohio,OH,39,2016,11634370,0.14497922
Ohio,OH,39,2017,11659650,0.217287227
Ohio,OH,39,2018,11676341,0.14315181
Ohio,OH,39,2019,11689100,0.109272245
Oklahoma,OK,40,2010,3759944,
Oklahoma,OK,40,2011,3788379,0.756261263
Oklahoma,OK,40,2012,3818814,0.803377909
Oklahoma,OK,40,2013,3853214,0.900803234
Oklahoma,OK,40,2014,3878187,0.648108306
Oklahoma,OK,40,2015,3909500,0.807413361
Oklahoma,OK,40,2016,3926331,0.430515411
Oklahoma,OK,40,2017,3931316,0.126963315
Oklahoma,OK,40,2018,3940235,0.226870595
Oklahoma,OK,40,2019,3956971,0.42474624
Oregon,OR,41,2010,3837491,
Oregon,OR,41,2011,3872036,0.900197551
Oregon,OR,41,2012,3899001,0.696403649
Oregon,OR,41,2013,3922468,0.601872121
Oregon,OR,41,2014,3963244,1.03954959
Oregon,OR,41,2015,4015792,1.325883544
Oregon,OR,41,2016,4089976,1.847306833
Oregon,OR,41,2017,4143625,1.311719189
Oregon,OR,41,2018,4181886,0.923370237
Oregon,OR,41,2019,4217737,0.857292619
Pennsylvania,PA,42,2010,12711160,
Pennsylvania,PA,42,2011,12745815,0.272634441
Pennsylvania,PA,42,2012,12767118,0.167137213
Pennsylvania,PA,42,2013,12776309,0.071989622
Pennsylvania,PA,42,2014,12788313,0.093955148
Pennsylvania,PA,42,2015,12784826,-0.027267084
Pennsylvania,PA,42,2016,12782275,-0.019953342
Pennsylvania,PA,42,2017,12787641,0.041980007
Pennsylvania,PA,42,2018,12800922,0.103858092
Pennsylvania,PA,42,2019,12801989,0.008335337
Rhode Island,RI,44,2010,1053959,
Rhode Island,RI,44,2011,1053649,-0.029412909
Rhode Island,RI,44,2012,1054621,0.092250835
